CodProduto	Produto	CodInsumo	INSUMO	QUANTIDADE RECEITA	QTDE REND
pd0049	Pré-Batch Coração da Mangueira	pd0010	Mel com capim santo	5	5
pd0050	Pré-Batch Iguatu	i0021	Bacardi ouro 980ml	50	50
pd0050	Pré-Batch Iguatu	pd0005	Cordial de Cajá	40	40
pd0050	Pré-Batch Iguatu	pd0030	Suco de Limão	20	20
pd0050	Pré-Batch Iguatu	pd0004	Chá de Louro	10	10
pd0051	Pré-Batch Estopinha	i0558	Tequila Don Julio 750ml	50	50
pd0051	Pré-Batch Estopinha		Redução de tamarindo	50	50
pd0051	Pré-Batch Estopinha	pd0030	Suco de Limão	20	20
pd0052	Pré-Batch Brasilia Amarela	pd0022	Vodka infusionada com baunilha	50	50
pd0052	Pré-Batch Brasilia Amarela	i0018	Limoncello	15	15
pd0052	Pré-Batch Brasilia Amarela	i0085	Água de Coco 330mL	50	50
pd0052	Pré-Batch Brasilia Amarela	pd0030	Suco de Limão	30	30
pd0052	Pré-Batch Brasilia Amarela	pd0029	Xarope Simples	20	20
pd0053	Pré-Batch Mistura de Candango	i0008	Cachaça Ypioca Prata	30	30
pd0053	Pré-Batch Mistura de Candango	i0007	Cachaça Ypioca 150	30	30
pd0053	Pré-Batch Mistura de Candango	pd0040	Suco de Laranja Artesanal	20	20
pd0053	Pré-Batch Mistura de Candango	pd0005	Cordial de Cajá	20	20
pd0053	Pré-Batch Mistura de Candango	pd0019	Shrub de Caju	20	20
pd0053	Pré-Batch Mistura de Candango	pd0030	Suco de Limão	20	20
pd0053	Pré-Batch Mistura de Candango	i0001	Amaretto	10	10
pd0054	Pré-Batch Zé Pilintra	i0026	Whisky Bourbon  Jim Beam White	50	50
pd0054	Pré-Batch Zé Pilintra	i0265	Presidente 900ml	25	25
pd0054	Pré-Batch Zé Pilintra	pd0027	Xarope de melado	15	15
pd0054	Pré-Batch Zé Pilintra	pd0014	Redução de cacau	15	15
pd0055	Pré-Batch Pingado	pd0002	Cachaça infusionada com café	40	40
pd0055	Pré-Batch Pingado	i0017	Licor don luiz	50	50
pd0055	Pré-Batch Pingado	i0303	Essência de Baunilha 500ml	10	10
pd0055	Pré-Batch Pingado	i0004	Bitter de Café	2	2
pd0056	Pré-Batch Café do Zeca	i0025	Vodka Smirnoff 998ml	50	50
pd0056	Pré-Batch Café do Zeca	pd0020	Shrub de cupuaçu	40	40
pd0056	Pré-Batch Café do Zeca	pd0014	Redução de cacau	5	5
pd0056	Pré-Batch Café do Zeca	i0016	licor de café	10	10
pd0056	Pré-Batch Café do Zeca	i0062	Café em pó 500g	20	20
pd0056	Pré-Batch Café do Zeca	i0004	bitter de café	2	2
pd0057	Pré-Batch Rei Momo	i0014	Gin Orloff	50	50
pd0057	Pré-Batch Rei Momo	pd0020	Shrub de Cupuaçu	30	30
pd0057	Pré-Batch Rei Momo	pd0011	Mel de Abacaxi	20	20
pd0057	Pré-Batch Rei Momo	i0067	Suco Concentrado de Abacaxi 500ml	25	25
pd0057	Pré-Batch Rei Momo	pd0030	Suco de Limão	15	15
pd0057	Pré-Batch Rei Momo	i0085	Água de Coco 330mL	50	50
pd0058	Pré-Batch Voo do Carcará	pd0021	Tequila infusionada com camomila	60	60
pd0058	Pré-Batch Voo do Carcará	i0075	Mate tostado	40	40
pd0058	Pré-Batch Voo do Carcará	pd0027	Xarope de melado	30	30
pd0058	Pré-Batch Voo do Carcará	pd0030	Suco de Limão	25	25
pd0059	Pré-Batch Beth Carvalho	pd0009	Infusão de Mate tostado	100	100
pd0059	Pré-Batch Beth Carvalho	pd0030	Suco de Limão	50	50
pd0059	Pré-Batch Beth Carvalho	pd0010	mel com capim santo	30	30
pd0060	Pré-Batch Burguesinha	i0025	Vodka Smirnoff 998ml	50	50
pd0060	Pré-Batch Burguesinha	pd0011	Mel de abacaxi	20	20
pd0060	Pré-Batch Burguesinha	pd0006	Cordial de Maracujá	40	40
pd0060	Pré-Batch Burguesinha	pd0030	Suco de Limão	20	20
pd0060	Pré-Batch Burguesinha	i0210	Água da Casa	50	50
pd0061	Pré-Batch Creone	i0008	Cachaça Ypioca prata	20	20
pd0061	Pré-Batch Creone	i0073	Leite de Coco	5	5
pd0061	Pré-Batch Creone	pd0011	Mel de Abacaxi	20	20
pd0062	Pré-Batch Xonadao	i0558	Tequila Don Julio 750ml	20	20
pc0036	Recheio para coxinha	i0047	Pimenta Dedo de Moça	3,5	4
pc0054	Recheio Quibe Veg	i0158	Sal Refinado 1kg	21	21
pc0054	Recheio Quibe Veg	i0111	Cebola Nacional	1000	1000
pc0054	Recheio Quibe Veg	i0059	Açúcar	133	133
pc0054	Recheio Quibe Veg	i0149	Pimenta do reino	8	8
pc0011	Tilápia Empanada	i0158	Sal Refinado 1kg	25	25
pc0011	Tilápia Empanada	i0227	Gergelim Preto kg	25	25
pc0011	Tilápia Empanada	i0235	Filé de Peixe - Tilápia kg	1000	1068
pc0011	Tilápia Empanada	i0092	Alho descascado	25	25
pc0011	Tilápia Empanada	pd0030	Suco de Limão	45	45
pc0011	Tilápia Empanada	i0149	Pimenta do Reino	1	1
pc0011	Tilápia Empanada	i0120	Farinha Panko	400	400
pc0011	Tilápia Empanada	i0139	Ovo Branco 	7	7
pc0011	Tilápia Empanada	i0119	Farinha de trigo 1kg	300	300
pc0021	Torresmo de Banda Prep	i0103	Barriga Porco - Panceta kg	1000	1000
pc0021	Torresmo de Banda Prep	i0158	Sal Refinado 1kg	200	200
pd0062	Pré-Batch Xonadao	pd0015	Redução de manga com pimenta	20	20
pd0062	Pré-Batch Xonadao	pd0030	Suco de Limão	10	10
pd0063	Pré-Batch Leonito	i0025	Vodka Smirnoff 998ml	15	15
pd0063	Pré-Batch Leonito	pd0020	Shrub de Cupuaçu	10	10
pd0063	Pré-Batch Leonito	i0019	Netuno	15	15
pd0064	Espuma de Maracujá	pd0006	Cordial de Maracujá	700	700
pd0064	Espuma de Maracujá	pd0030	Suco de Limão	70	70
pd0064	Espuma de Maracujá	i0068	Emulsificante Emustab	7	7
pd0064	Espuma de Maracujá	i0305	Cápsula CO2 (cx 10 und)	1	1
pd0065	Espuma de Cupuaçu	pd0020	Shrub de Cupuaçu	700	700
pd0065	Espuma de Cupuaçu	i0068	Emulsificante Emustab	7	7
pd0065	Espuma de Cupuaçu	i0305	Cápsula CO2 (cx 10 und)	1	1
pd0066	Espuma de Limão Siciliano	pd0068	Xarope de Limão Siciliano	700	700
pd0066	Espuma de Limão Siciliano	i0068	Emulsificante Emustab	7	7
pd0066	Espuma de Limão Siciliano	i0305	Cápsula CO2 (cx 10 und)	1	1
pd0067	Espuma de Açai	pd0023	Xarope de açaí	700	700
pd0067	Espuma de Açai	pd0030	Suco de Limão	70	70
pd0067	Espuma de Açai	i0068	Emulsificante Emustab	7	7
pd0067	Espuma de Açai	i0305	Cápsula CO2 (cx 10 und)	1	1
pd0068	Xarope de Limão Siciliano	pd0069	Suco de Limão Siciliano	500	500
pd0068	Xarope de Limão Siciliano	i0059	Açúcar	500	500
pd0069	Suco de Limão Siciliano	i0042	Limão Siciliano	1000	1000
PD0071	Licor de Jabuticaba	i0577	Jabuticaba	500	500
PD0071	Licor de Jabuticaba	i0008	Cachaça Ypioca Prata	1000	1000
PD0071	Licor de Jabuticaba	i0059	Açúcar	1000	1000
pc0021	Torresmo de Banda Prep	i0168	Vinagre de álcool	200	200
pc0088	Farofa de Bacon	i0111	Cebola Nacional	1	1
pc0088	Farofa de Bacon	i0101	Bacon	400	400
pc0088	Farofa de Bacon	i0158	Sal Refinado 1kg	20	20
pc0088	Farofa de Bacon	i0138	Óleo de Soja	100	100
pc0089	Vinagrete	i0165	Tomate Extra	300	300
pc0089	Vinagrete	i0521	Pimentão Amarelo kg	150	150
pc0089	Vinagrete	i0522	Pimentão Vermelho kg	200	200
pc0089	Vinagrete	i0111	Cebola Nacional	150	150
pc0089	Vinagrete	i0168	Vinagre de Álcool	20	20
pc0089	Vinagrete	i0100	Azeite Extr. Virgem 5L	60	60
pc0089	Vinagrete	i0158	Sal Refinado 1kg	10	10
pc0090	Queijo Coalho C/ Melaço	i0077	Melado	80	80
pc0090	Queijo Coalho C/ Melaço	i0153	Queijo Coalho	200	200
pc0091	Cupim C/ Queijo	i0447	Cupim kg	5780	5780
pc0091	Cupim C/ Queijo	i0111	Cebola Nacional	1400	1400
pc0091	Cupim C/ Queijo	i0168	Vinagre de Álcool	100	100
pc0091	Cupim C/ Queijo	i0138	Óleo de Soja	20	20
pc0091	Cupim C/ Queijo	i0186	Original 600ml	1	1
pc0091	Cupim C/ Queijo	i0098	Alho poró mç	400	400
pc0091	Cupim C/ Queijo	i0512	Molho Shoyu	400	400
pc0091	Cupim C/ Queijo	i0071	Folha de Louro	0,1	0
pc0091	Cupim C/ Queijo	i0158	Sal Refinado 1kg	80	80
pc0091	Cupim C/ Queijo	i0149	Pimenta do Reino	10	10
pc0091	Cupim C/ Queijo	i0210	Água da Casa	1500	1500
pc0091	Cupim C/ Queijo	pc0018	Mandioca Cozida	300	300
pc0092	Moela	i0092	Alho descascado	150	150
pc0092	Moela	i0111	Cebola Nacional	600	600
pc0092	Moela	i0138	Óleo de Soja	40	40
pc0092	Moela	i0522	Pimentão Vermelho kg	160	160
pc0092	Moela	i0521	Pimentão Amarelo kg	180	180
pc0092	Moela	i0454	Pimenta de Cheiro	100	100
pc0092	Moela	i0165	Tomate Extra	600	600
pc0092	Moela	i0258	Páprica Defumada kg	40	40
pc0092	Moela	i0047	Pimenta Dedo de Moça	5	5
pc0092	Moela		Molho de Tomate	200	200
pc0092	Moela	i0035	Coentro	1	1
pc0092	Moela	i0158	Sal Refinado 1kg	40	40
pc0092	Moela	i0210	Água da Casa	15000	15000
pc0092	Moela	i0574	Moela kg	3250	3250
pc0093	Jiló Empanado	i0158	Sal Refinado 1kg	3	3
pc0093	Jiló Empanado	i0149	Pimenta do Reino	2	2
pc0093	Jiló Empanado	i0084	Água com gás 500mL	175	175
pc0093	Jiló Empanado	i0112	Cebola em Pó	1	1
pc0093	Jiló Empanado	i0097	Alho em Pó	1	1
pc0093	Jiló Empanado		páprica kg	5	5
pc0093	Jiló Empanado	i0292	Orégano kg	2	2
pc0093	Jiló Empanado	i0120	Farinha Panko	75	75
pc0093	Jiló Empanado	i0119	Farinha de trigo 1kg	50	50
pc0093	Jiló Empanado	i0473	jiló kg	145	145
pc0094	Bolo Petit Gateau	i0059	Açúcar	90	90
pc0094	Bolo Petit Gateau	i0218	Chocolate Amargo em Barra	200	200
pc0094	Bolo Petit Gateau	i0119	Farinha de trigo 1kg	90	90
pc0094	Bolo Petit Gateau	i0139	Ovo Branco 	3	3

